CLIENTE,CREDITO,PRODUCTO,MONTO,SUCURSAL,EJECUTIVO,TIPO,FECHA_FORMALIZACION,SUCURSAL_2,TERRITORIO,ZONA,Cliente_sibamex,TIPO_2,FileName,FileDate,ID,Week,Year,Oficina_meta,META_NUEVOS_CASOS,META_NUEVOS_MONTO,META_RECOMPRA_CASOS,META_RECOMPRA_MONTO,n_registros,MetaMonto_por_registro,MetaCasos_por_registro
87654,3168818,15105,124350.0,48,XWB,RECOMPRA,2026-03-02,48,ARCO NORTE,Zona 29,4898430,NUEVO,02-03-2026_12.xls,2026-03-02,12,10,2026,48.0,0.0,60000.0,0.0,1200000.0,1,60000.0,0.0
47547,3168890,15105,65744.0,981,RJL,RECOMPRA,2026-03-02,24,ARCO NORTE,Zona 37,9396695,RECOMPRA,02-03-2026_12.xls,2026-03-02,12,10,2026,981.0,0.0,60000.0,0.0,590000.0,1,590000.0,0.0
131800,3169048,15105,8350.0,1,TQG,NUEVO,2026-03-02,341,SUR PONIENTE,Zona 10,131800,NUEVO,02-03-2026_12.xls,2026-03-02,12,10,2026,,,,,,1,,
86178,3169064,15105,7350.0,42,ZEI,RECOMPRA,2026-03-02,42,ARCO NORTE,Zona 25,4289928,RECOMPRA,02-03-2026_12.xls,2026-03-02,12,10,2026,42.0,0.0,15000.0,0.0,470000.0,1,470000.0,0.0
131802,3169092,15105,5350.0,352,XVL,NUEVO,2026-03-02,352,SUR PONIENTE,Zona 07,131802,NUEVO,02-03-2026_12.xls,2026-03-02,12,10,2026,352.0,0.0,44000.0,0.0,395000.0,1,44000.0,0.0
87654,3168818,15105,124350.0,48,XWB,RECOMPRA,2026-03-02,48,ARCO NORTE,Zona 29,4898430,NUEVO,02-03-2026_15.xls,2026-03-02,15,10,2026,48.0,0.0,60000.0,0.0,1200000.0,1,60000.0,0.0
47547,3168890,15105,65744.0,981,RJL,RECOMPRA,2026-03-02,24,ARCO NORTE,Zona 37,9396695,RECOMPRA,02-03-2026_15.xls,2026-03-02,15,10,2026,981.0,0.0,60000.0,0.0,590000.0,4,147500.0,0.0
131800,3169048,15105,8350.0,1,TQG,NUEVO,2026-03-02,341,SUR PONIENTE,Zona 10,131800,NUEVO,02-03-2026_15.xls,2026-03-02,15,10,2026,,,,,,1,,
86178,3169064,15105,7350.0,42,ZEI,RECOMPRA,2026-03-02,42,ARCO NORTE,Zona 25,4289928,RECOMPRA,02-03-2026_15.xls,2026-03-02,15,10,2026,42.0,0.0,15000.0,0.0,470000.0,6,78333.33333333333,0.0
131802,3169092,15105,5350.0,352,XVL,NUEVO,2026-03-02,352,SUR PONIENTE,Zona 07,131802,NUEVO,02-03-2026_15.xls,2026-03-02,15,10,2026,352.0,0.0,44000.0,0.0,395000.0,1,44000.0,0.0
128870,3169100,15105,14050.0,49,QVR,RECOMPRA,2026-03-02,49,ARCO NORTE,Zona 27,4995286,RECOMPRA,02-03-2026_15.xls,2026-03-02,15,10,2026,49.0,0.0,30000.0,0.0,960000.0,4,240000.0,0.0
62967,3169128,15105,70580.0,343,TUL,RECOMPRA,2026-03-02,343,SUR PONIENTE,Zona 03,34598758,RECOMPRA,02-03-2026_15.xls,2026-03-02,15,10,2026,343.0,0.0,44000.0,0.0,769000.0,12,64083.333333333336,0.0
105167,3169146,15105,12350.0,343,FLO,RECOMPRA,2026-03-02,343,SUR PONIENTE,Zona 03,34395957,RECOMPRA,02-03-2026_15.xls,2026-03-02,15,10,2026,343.0,0.0,44000.0,0.0,769000.0,12,64083.333333333336,0.0
131804,3169160,15105,50000.0,344,WDQ,NUEVO,2026-03-02,344,SUR PONIENTE,Zona 07,131804,NUEVO,02-03-2026_15.xls,2026-03-02,15,10,2026,344.0,0.0,44000.0,0.0,712000.0,1,44000.0,0.0
